track_id,observations,observed_seconds,in_store_seconds,apron_dark_ratio,badge_detection_rate,badge_hits,badge_observations,mean_person_height_px,staff_score,score_at_decision,role
19,623,62.6,62.6,0.9532,0.363,224,617,207.1,0.9227,0.9227,staff
1,784,80.4,80.4,0.9263,0.2094,147,702,204.5,0.8798,0.8798,staff
80,312,31.4,31.4,0.8487,0.351,106,302,195.7,0.8168,0.8168,staff
143,110,11.4,11.4,0.8637,0.3333,8,24,104.7,0.7776,0.7776,staff
3,231,23.1,23.1,0.7269,0.3535,35,99,112.2,0.7558,0.7558,staff
4,256,26.1,26.1,0.7014,0.3047,78,256,144.1,0.7535,0.7535,staff
145,531,53.7,53.7,0.5066,0.3432,127,370,109.0,0.7466,0.7466,staff
156,16,1.6,1.6,0.8065,0.25,3,12,112.9,0.7358,0.7358,customer
84,173,17.3,17.3,0.9219,0.2081,36,173,134.9,0.7357,0.7357,staff
32,27,3.1,3.1,0.7858,0.3846,10,26,132.5,0.7319,0.7319,staff
39,7,1.1,1.1,0.7344,0.2857,2,7,131.2,0.7095,0.7095,customer
83,277,27.7,27.7,0.758,0.1769,49,277,203.1,0.6453,0.6453,staff
88,33,3.3,3.3,0.8382,0.1818,6,33,150.7,0.628,0.628,staff
152,5,0.5,0.5,0.7221,0.2,1,5,135.2,0.6138,0.6138,customer
24,39,4.4,4.4,0.7875,0.1714,6,35,132.1,0.594,0.594,customer
135,138,14.4,14.4,0.7832,0.15,3,20,109.2,0.5761,0.5761,customer
66,438,45.0,45.0,0.7385,0.1,2,20,87.8,0.5385,0.5385,customer
11,147,14.7,14.7,0.6576,0.1361,20,147,143.4,0.5077,0.5077,customer
109,605,67.0,67.0,0.9044,0.0,0,0,89.4,0.4654,0.4654,customer
17,13,1.3,1.3,0.6167,0.125,1,8,112.3,0.4437,0.4437,customer
2,43,4.4,4.4,0.5795,0.1071,3,28,145.4,0.4055,0.4055,customer
110,555,55.7,55.7,0.7965,0.0,0,2,91.9,0.4026,0.4026,customer
47,38,3.9,3.9,0.5675,0.1,3,30,128.2,0.3873,0.3873,customer
151,40,4.0,4.0,0.696,0.0714,1,14,106.1,0.3811,0.3811,customer
45,2,0.2,0.2,0.9661,0.0,0,2,131.5,0.3386,0.3386,customer
6,85,8.5,8.5,0.391,0.1,5,50,136.8,0.3357,0.3357,customer
21,4,0.4,0.4,0.888,0.0,0,4,181.5,0.3117,0.3117,customer
59,3,0.3,0.3,0.8747,0.0,0,3,119.8,0.3068,0.3068,customer
100,5,0.6,0.6,0.8132,0.0,0,5,134.7,0.286,0.286,customer
111,2,0.5,0.5,0.7985,0.0,0,1,114.3,0.2806,0.2806,customer
50,1,0.6,0.6,0.7766,0.0,0,1,128.0,0.2731,0.2731,customer
115,4,0.5,0.5,0.7555,0.0,0,4,126.2,0.2655,0.2655,customer
94,25,2.5,2.5,0.6717,0.0,0,15,111.5,0.2406,0.2406,customer
61,20,2.3,2.3,0.6662,0.0,0,20,127.1,0.2383,0.2383,customer
119,57,5.7,5.7,0.6253,0.0,0,13,105.4,0.2315,0.2315,customer
125,15,2.0,2.0,0.6212,0.0,0,14,116.7,0.2219,0.2219,customer
118,7,0.7,0.7,0.6267,0.0,0,7,132.9,0.2209,0.2209,customer
7,64,6.9,6.9,0.5829,0.0,0,20,109.3,0.2193,0.2193,customer
149,3,0.3,0.3,0.6222,0.0,0,3,120.0,0.2184,0.2184,customer
38,4,0.4,0.4,0.6128,0.0,0,2,114.0,0.2154,0.2154,customer
121,2,0.2,0.2,0.5973,0.0,0,2,124.6,0.2095,0.2095,customer
15,57,5.8,5.8,0.5173,0.0,0,0,89.7,0.194,0.194,customer
93,102,10.7,10.7,0.3562,0.0,0,0,93.4,0.1484,0.1484,customer
86,1,0.1,0.1,0.3358,0.0,0,0,88.9,0.1178,0.1178,customer
124,2,0.2,0.2,0.2882,0.0,0,0,90.4,0.1013,0.1013,customer
70,4,0.6,0.6,0.2731,0.0,0,4,126.3,0.0969,0.0969,customer
9,74,7.4,7.4,0.1493,0.0,0,55,114.5,0.0687,0.0687,customer
142,26,3.2,3.2,0.1682,0.0,0,26,127.1,0.066,0.066,customer
42,30,4.8,4.8,0.1331,0.0,0,26,113.0,0.0573,0.0573,customer
77,48,5.5,5.5,0.1273,0.0,0,13,106.8,0.0568,0.0568,customer
138,62,6.5,6.5,0.1175,0.0,0,7,107.8,0.0556,0.0556,customer
128,1,0.1,0.1,0.1324,0.0,0,1,120.0,0.0466,0.0466,customer
136,44,4.4,4.4,0.08,0.0,0,6,101.9,0.0378,0.0378,customer
40,1,0.1,0.1,0.0866,0.0,0,1,117.7,0.0305,0.0305,customer
65,25,2.5,2.5,0.064,0.0,0,5,99.7,0.0279,0.0279,customer
141,15,1.5,1.5,0.0638,0.0,0,0,98.4,0.0257,0.0257,customer
55,2,0.2,0.2,0.0661,0.0,0,2,116.4,0.0236,0.0236,customer
129,4,0.6,0.6,0.039,0.0,0,4,129.0,0.015,0.015,customer
95,20,2.0,2.0,0.0236,0.0,0,20,131.8,0.0127,0.0127,customer
